BehSh;BehSh_txt;BehSh_kort
11;Finnmarksykehuset HF - Kirkenes;Kirkenes
12;Finnmarksykehuset HF - Hammerfest;Hammerfest
21;UNN HF - Tromsø;Tromsø
22;UNN HF - Harstad;Harstad
23;UNN HF - Narvik;Narvik
27;UNN HF - Longyearbyen;Longyearbyen
31;Nordlandssykehuset HF - Vesterålen;Vesterålen
32;Nordlandssykehuset HF - Lofoten;Lofoten
33;Nordlandssykehuset HF - Bodø;Bodø
41;Helgelandssykehuset HF - Mo i Rana;Mo i Rana
42;Helgelandssykehuset HF - Mosjøen;Mosjøen
43;Helgelandssykehuset HF - Sandnessjøen;Sandnessjøen
51;Helse Nord-Trøndelag HF - Namsos;Namsos
52;Helse Nord-Trøndelag HF - Levanger;Levanger
61;St. Olavs Hospital HF - Trondheim;Trondheim
62;St. Olavs Hospital HF - Orkdal;Orkdal
63;St. Olavs hospital HF - Røros;Røros
64;St. Olavs hospital HF - Hysnes helsefort;Hysnes helsefort
71;Helse Møre og Romsdal HF - Molde;Molde
72;Helse Møre og Romsdal HF - Kristiansund;Kristiansund
73;Helse Møre og Romsdal HF - Ålesund;Ålesund
74;Helse Møre og Romsdal HF - Volda;Volda
75;Helse Møre og Romsdal HF - Mork Rehabiliteringssenter;Mork Rehabiliteringssenter
76;Helse Møre og Romsdal HF - Nevrohjemmet rehabiliteringssenter;Nevrohjemmet rehabiliteringssenter
77;Helse Møre og Romsdal HF - Aure rehabiliteringssenter;Aure rehabiliteringssenter
91;Helse Førde HF - Førde;Førde
92;Helse Førde HF - Nordfjord;Nordfjord
93;Helse Førde HF - Lærdal;Lærdal
94;Helse Førde HF - Florø;Florø
101;Helse Bergen HF - Haukeland;Haukeland
102;Helse Bergen HF - Kysthospitalet i Hagevik;Kysthospitalet i Hagevik
103;Helse Bergen HF - Voss;Voss
104;Helse Bergen HF - Bergen legevakt;Bergen legevakt
111;Helse Fonna HF - Odda;Odda
112;Helse Fonna HF - Stord;Stord
113;Helse Fonna HF - Haugesund;Haugesund
114;Helse Fonna HF - Sauda;Sauda
121;Helse Stavanger HF - Stavanger;Stavanger
122;Helse Stavanger HF - Egersund;Egersund
131;Betanien spesialistpoliklinikk Bergen;Betanien spesialistpoliklinikk Bergen
132;Haugesund sanitetsforenings revm.sykehus;Haugesund sanitetsforenings revm.sykehus
141;Vestre Viken HF - Drammen;Drammen
142;Vestre Viken HF - Bærum;Bærum
143;Vestre Viken HF - Ringerike;Ringerike
144;Vestre Viken HF - Kongsberg;Kongsberg
151;Sykehuset Telemark HF - Skien;Skien
153;Sykehuset Telemark HF - Notodden;Notodden
154;Sykehuset Telemark HF - Rjukan;Rjukan
155;Sykehuset Telemark HF - Nordagutu;Nordagutu
159;Sykehuset Telemark HF - ukjent lok;Sykehuset Telemark HF - ukjent lok
160;AHUS HF;AHUS HF
171;Sykehuset Innlandet HF - Elverum;Elverum
172;Sykehuset Innlandet HF - Gjøvik;Gjøvik
173;Sykehuset Innlandet HF - Lillehammer;Lillehammer
174;Sykehuset Innlandet HF - Kongsvinger;Kongsvinger
175;Sykehuset Innlandet HF - Tynset;Tynset
176;Sykehuset Innlandet HF - Granheim;Granheim
177;Sykehuset Innlandet HF - Ottestad;Ottestad
178;Sykehuset Innlandet HF - Hamar;Hamar
179;Sykehuset Innlandet HF - Habiliteringstjenesten i Hedmark;Habiliteringstjenesten i Hedmark
180;OUS HF;OUS
181;OUS HF - Rikshospitalet;Rikshospitalet
182;OUS HF - Aker;Aker
183;OUS HF - Oslo legevakt;Oslo legevakt
184;OUS HF - Ullevål;Ullevål
185;OUS HF - Spesialsykehuset for epilepsi;Spesialsykehuset for epilepsi
186;OUS HF - Radiumhospitalet;Radiumhospitalet
187;OUS HF - Geilomo barnesykehus;Geilomo barnesykehus
188;OUS HF - Voksentoppen;Voksentoppen
189;OUS HF - Olafiaklinikken;Olafiaklinikken
190;Sunnaas sykehus;Sunnaas sykehus
200;Sykehuset Østfold HF - Fredrikstad/Kalnes;Fredrikstad/Kalnes
201;Sykehuset Østfold HF - Moss;Moss
202;Sykehuset Østfold HF - Sarpsborg;Sarpsborg
211;Sørlandet sykehus HF - Kristiansand;Kristiansand
212;Sørlandet sykehus HF - Arendal;Arendal
213;Sørlandet sykehus HF - Flekkefjord;Flekkefjord
214;Sørlandet sykehus HF - Spesialsykehuset for rehabilitering, Kristiansand;Spesialsykehuset for rehabilitering, Kristiansand
221;Sykehuset i Vestfold HF - Tønsberg;Tønsberg
223;Sykehuset i Vestfold HF - Larvik;Larvik
230;Diakonhjemmet sykehus;Diakonhjemmet
240;Lovisenberg diakonale sykehus;Lovisenberg
251;Martina Hansens Hospital;Martina Hansens Hospital
252;Betanien Hospital Skien;Betanien Hospital Skien
253;Revmatismesykehuset Lillehammer;Revmatismesykehuset Lillehammer
254;Oslo kommunale legevakt, Observasjonsposten;Oslo kommunale legevakt, Observasjonsposten
260;Haraldsplass Diakonale Sykehus;Haraldsplass
270;Longyearbyen sykehus;Longyearbyen
300;Feiringklinikken;Feiring
301;Feiringklinikken;Feiring
302;Aleris, Bergen;Aleris, Bergen
303;Aleris, Oslo;Aleris, Oslo
304;Kolibri Medical Group;Kolibri Medical Group
305;NIMI;NIMI
306;Oslofjordklinikken, øst;Oslofjordklinikken, øst
307;Oslofjordklinikken, vest;Oslofjordklinikken, vest
308;Teres Colloseum, Oslo;Teres Colloseum, Oslo
309;Teres Colloseum, Stavanger;Teres Colloseum, Stavanger
310;Teres Bergen;Teres Bergen
311;Teres Drammen;Teres Drammen
312;Volvat Bergen, Ulriksdal;Volvat Bergen, Ulriksdal
313;Volvat, Bergen;Volvat, Bergen
156;Sykehuset Telemark HF - Porsgrunn;Porsgrunn
9998;Norge;Norge
9999;Norge ;Norge
0;Norge  ;Norge
NA;Norge   ;Norge
-1;Andre sykehus;Andre sykehus
