bohf_txt;aar;alder;ermann;teknikk;Antall;bohf
Norge;2015;4;0;Totalproteses;5;9999
Finnmark;2013;1;0;Hemiprotsese;5;1
UNN;2013;1;0;Hemiprotsese;11;2
Nordland;2013;1;0;Hemiprotsese;12;3
Helgeland;2013;1;0;Hemiprotsese;7;4
Nord-Trøndelag;2013;1;0;Hemiprotsese;6;6
St. Olavs;2013;1;0;Hemiprotsese;20;7
Møre og Romsdal;2013;1;0;Hemiprotsese;19;8
Førde;2013;1;0;Hemiprotsese;6;10
Bergen;2013;1;0;Hemiprotsese;41;11
Fonna;2013;1;0;Hemiprotsese;15;12
Stavanger;2013;1;0;Hemiprotsese;7;13
Østfold;2013;1;0;Hemiprotsese;43;14
Akershus;2013;1;0;Hemiprotsese;23;15
OUS;2013;1;0;Hemiprotsese;50;16
Innlandet;2013;1;0;Hemiprotsese;32;19
Vestre Viken;2013;1;0;Hemiprotsese;30;20
Vestfold;2013;1;0;Hemiprotsese;34;21
Telemark;2013;1;0;Hemiprotsese;15;22
Sørlandet;2013;1;0;Hemiprotsese;16;23
Norge;2013;1;0;Hemiprotsese;392;9999
Finnmark;2014;1;0;Hemiprotsese;6;1
UNN;2014;1;0;Hemiprotsese;13;2
Nordland;2014;1;0;Hemiprotsese;8;3
Helgeland;2014;1;0;Hemiprotsese;7;4
Nord-Trøndelag;2014;1;0;Hemiprotsese;7;6
St. Olavs;2014;1;0;Hemiprotsese;18;7
Møre og Romsdal;2014;1;0;Hemiprotsese;13;8
Førde;2014;1;0;Hemiprotsese;8;10
Bergen;2014;1;0;Hemiprotsese;39;11
Fonna;2014;1;0;Hemiprotsese;11;12
Stavanger;2014;1;0;Hemiprotsese;4;13
Østfold;2014;1;0;Hemiprotsese;20;14
Akershus;2014;1;0;Hemiprotsese;29;15
OUS;2014;1;0;Hemiprotsese;32;16
Innlandet;2014;1;0;Hemiprotsese;40;19
Vestre Viken;2014;1;0;Hemiprotsese;37;20
Vestfold;2014;1;0;Hemiprotsese;35;21
Telemark;2014;1;0;Hemiprotsese;8;22
Sørlandet;2014;1;0;Hemiprotsese;18;23
Norge;2014;1;0;Hemiprotsese;353;9999
Finnmark;2015;1;0;Hemiprotsese;3;1
UNN;2015;1;0;Hemiprotsese;10;2
Nordland;2015;1;0;Hemiprotsese;13;3
Helgeland;2015;1;0;Hemiprotsese;8;4
Nord-Trøndelag;2015;1;0;Hemiprotsese;11;6
St. Olavs;2015;1;0;Hemiprotsese;18;7
Møre og Romsdal;2015;1;0;Hemiprotsese;4;8
Førde;2015;1;0;Hemiprotsese;5;10
Bergen;2015;1;0;Hemiprotsese;33;11
Fonna;2015;1;0;Hemiprotsese;14;12
Stavanger;2015;1;0;Hemiprotsese;6;13
Østfold;2015;1;0;Hemiprotsese;36;14
Akershus;2015;1;0;Hemiprotsese;31;15
OUS;2015;1;0;Hemiprotsese;31;16
Innlandet;2015;1;0;Hemiprotsese;45;19
Vestre Viken;2015;1;0;Hemiprotsese;33;20
Vestfold;2015;1;0;Hemiprotsese;14;21
Telemark;2015;1;0;Hemiprotsese;6;22
Sørlandet;2015;1;0;Hemiprotsese;21;23
Norge;2015;1;0;Hemiprotsese;352;9999
Finnmark;2013;2;0;Hemiprotsese;7;1
UNN;2013;2;0;Hemiprotsese;9;2
Nordland;2013;2;0;Hemiprotsese;15;3
Helgeland;2013;2;0;Hemiprotsese;7;4
Nord-Trøndelag;2013;2;0;Hemiprotsese;8;6
St. Olavs;2013;2;0;Hemiprotsese;26;7
Møre og Romsdal;2013;2;0;Hemiprotsese;19;8
Førde;2013;2;0;Hemiprotsese;6;10
Bergen;2013;2;0;Hemiprotsese;34;11
Fonna;2013;2;0;Hemiprotsese;17;12
Stavanger;2013;2;0;Hemiprotsese;8;13
Østfold;2013;2;0;Hemiprotsese;42;14
Akershus;2013;2;0;Hemiprotsese;34;15
OUS;2013;2;0;Hemiprotsese;46;16
Innlandet;2013;2;0;Hemiprotsese;46;19
Vestre Viken;2013;2;0;Hemiprotsese;53;20
Vestfold;2013;2;0;Hemiprotsese;22;21
Telemark;2013;2;0;Hemiprotsese;12;22
Sørlandet;2013;2;0;Hemiprotsese;33;23
Norge;2013;2;0;Hemiprotsese;444;9999
Finnmark;2014;2;0;Hemiprotsese;4;1
UNN;2014;2;0;Hemiprotsese;7;2
Nordland;2014;2;0;Hemiprotsese;22;3
Helgeland;2014;2;0;Hemiprotsese;1;4
Nord-Trøndelag;2014;2;0;Hemiprotsese;8;6
St. Olavs;2014;2;0;Hemiprotsese;30;7
Møre og Romsdal;2014;2;0;Hemiprotsese;33;8
Førde;2014;2;0;Hemiprotsese;8;10
Bergen;2014;2;0;Hemiprotsese;47;11
Fonna;2014;2;0;Hemiprotsese;21;12
Stavanger;2014;2;0;Hemiprotsese;12;13
Østfold;2014;2;0;Hemiprotsese;43;14
Akershus;2014;2;0;Hemiprotsese;35;15
OUS;2014;2;0;Hemiprotsese;58;16
Innlandet;2014;2;0;Hemiprotsese;42;19
Vestre Viken;2014;2;0;Hemiprotsese;41;20
Vestfold;2014;2;0;Hemiprotsese;29;21
Telemark;2014;2;0;Hemiprotsese;15;22
Sørlandet;2014;2;0;Hemiprotsese;30;23
Norge;2014;2;0;Hemiprotsese;486;9999
Finnmark;2015;2;0;Hemiprotsese;6;1
UNN;2015;2;0;Hemiprotsese;14;2
Nordland;2015;2;0;Hemiprotsese;12;3
Helgeland;2015;2;0;Hemiprotsese;4;4
Nord-Trøndelag;2015;2;0;Hemiprotsese;16;6
St. Olavs;2015;2;0;Hemiprotsese;24;7
Møre og Romsdal;2015;2;0;Hemiprotsese;25;8
Førde;2015;2;0;Hemiprotsese;3;10
Bergen;2015;2;0;Hemiprotsese;41;11
Fonna;2015;2;0;Hemiprotsese;22;12
Stavanger;2015;2;0;Hemiprotsese;11;13
Østfold;2015;2;0;Hemiprotsese;44;14
Akershus;2015;2;0;Hemiprotsese;36;15
OUS;2015;2;0;Hemiprotsese;37;16
Innlandet;2015;2;0;Hemiprotsese;52;19
Vestre Viken;2015;2;0;Hemiprotsese;42;20
Vestfold;2015;2;0;Hemiprotsese;20;21
Telemark;2015;2;0;Hemiprotsese;18;22
Sørlandet;2015;2;0;Hemiprotsese;27;23
Norge;2015;2;0;Hemiprotsese;454;9999
Finnmark;2013;3;0;Hemiprotsese;8;1
UNN;2013;3;0;Hemiprotsese;20;2
Nordland;2013;3;0;Hemiprotsese;18;3
Helgeland;2013;3;0;Hemiprotsese;6;4
Nord-Trøndelag;2013;3;0;Hemiprotsese;14;6
St. Olavs;2013;3;0;Hemiprotsese;32;7
Møre og Romsdal;2013;3;0;Hemiprotsese;27;8
Førde;2013;3;0;Hemiprotsese;6;10
Bergen;2013;3;0;Hemiprotsese;52;11
Fonna;2013;3;0;Hemiprotsese;20;12
Stavanger;2013;3;0;Hemiprotsese;21;13
Østfold;2013;3;0;Hemiprotsese;45;14
Akershus;2013;3;0;Hemiprotsese;29;15
OUS;2013;3;0;Hemiprotsese;61;16
Innlandet;2013;3;0;Hemiprotsese;51;19
Vestre Viken;2013;3;0;Hemiprotsese;51;20
Vestfold;2013;3;0;Hemiprotsese;26;21
Telemark;2013;3;0;Hemiprotsese;21;22
Sørlandet;2013;3;0;Hemiprotsese;27;23
Norge;2013;3;0;Hemiprotsese;535;9999
Finnmark;2014;3;0;Hemiprotsese;7;1
UNN;2014;3;0;Hemiprotsese;8;2
Nordland;2014;3;0;Hemiprotsese;20;3
Helgeland;2014;3;0;Hemiprotsese;5;4
Nord-Trøndelag;2014;3;0;Hemiprotsese;12;6
St. Olavs;2014;3;0;Hemiprotsese;40;7
Møre og Romsdal;2014;3;0;Hemiprotsese;36;8
Førde;2014;3;0;Hemiprotsese;6;10
Bergen;2014;3;0;Hemiprotsese;40;11
Fonna;2014;3;0;Hemiprotsese;23;12
Stavanger;2014;3;0;Hemiprotsese;32;13
Østfold;2014;3;0;Hemiprotsese;37;14
Akershus;2014;3;0;Hemiprotsese;36;15
OUS;2014;3;0;Hemiprotsese;57;16
Innlandet;2014;3;0;Hemiprotsese;67;19
Vestre Viken;2014;3;0;Hemiprotsese;46;20
Vestfold;2014;3;0;Hemiprotsese;25;21
Telemark;2014;3;0;Hemiprotsese;29;22
Sørlandet;2014;3;0;Hemiprotsese;33;23
Norge;2014;3;0;Hemiprotsese;559;9999
Finnmark;2015;3;0;Hemiprotsese;6;1
UNN;2015;3;0;Hemiprotsese;19;2
Nordland;2015;3;0;Hemiprotsese;21;3
Helgeland;2015;3;0;Hemiprotsese;3;4
Nord-Trøndelag;2015;3;0;Hemiprotsese;16;6
St. Olavs;2015;3;0;Hemiprotsese;27;7
Møre og Romsdal;2015;3;0;Hemiprotsese;25;8
Førde;2015;3;0;Hemiprotsese;10;10
Bergen;2015;3;0;Hemiprotsese;40;11
Fonna;2015;3;0;Hemiprotsese;15;12
Stavanger;2015;3;0;Hemiprotsese;31;13
Østfold;2015;3;0;Hemiprotsese;43;14
Akershus;2015;3;0;Hemiprotsese;32;15
OUS;2015;3;0;Hemiprotsese;43;16
Innlandet;2015;3;0;Hemiprotsese;44;19
Vestre Viken;2015;3;0;Hemiprotsese;52;20
Vestfold;2015;3;0;Hemiprotsese;26;21
Telemark;2015;3;0;Hemiprotsese;28;22
Sørlandet;2015;3;0;Hemiprotsese;31;23
Norge;2015;3;0;Hemiprotsese;512;9999
Finnmark;2013;4;0;Hemiprotsese;3;1
UNN;2013;4;0;Hemiprotsese;19;2
Nordland;2013;4;0;Hemiprotsese;20;3
Helgeland;2013;4;0;Hemiprotsese;4;4
Nord-Trøndelag;2013;4;0;Hemiprotsese;22;6
St. Olavs;2013;4;0;Hemiprotsese;33;7
Møre og Romsdal;2013;4;0;Hemiprotsese;44;8
Førde;2013;4;0;Hemiprotsese;18;10
Bergen;2013;4;0;Hemiprotsese;49;11
Fonna;2013;4;0;Hemiprotsese;43;12
Stavanger;2013;4;0;Hemiprotsese;30;13
Østfold;2013;4;0;Hemiprotsese;49;14
Akershus;2013;4;0;Hemiprotsese;22;15
OUS;2013;4;0;Hemiprotsese;69;16
Innlandet;2013;4;0;Hemiprotsese;52;19
Vestre Viken;2013;4;0;Hemiprotsese;67;20
Vestfold;2013;4;0;Hemiprotsese;28;21
Telemark;2013;4;0;Hemiprotsese;19;22
Sørlandet;2013;4;0;Hemiprotsese;33;23
Norge;2013;4;0;Hemiprotsese;624;9999
Finnmark;2014;4;0;Hemiprotsese;5;1
UNN;2014;4;0;Hemiprotsese;18;2
Nordland;2014;4;0;Hemiprotsese;16;3
Helgeland;2014;4;0;Hemiprotsese;9;4
Nord-Trøndelag;2014;4;0;Hemiprotsese;11;6
St. Olavs;2014;4;0;Hemiprotsese;28;7
Møre og Romsdal;2014;4;0;Hemiprotsese;43;8
Førde;2014;4;0;Hemiprotsese;9;10
Bergen;2014;4;0;Hemiprotsese;49;11
Fonna;2014;4;0;Hemiprotsese;26;12
Stavanger;2014;4;0;Hemiprotsese;40;13
Østfold;2014;4;0;Hemiprotsese;46;14
Akershus;2014;4;0;Hemiprotsese;35;15
OUS;2014;4;0;Hemiprotsese;92;16
Innlandet;2014;4;0;Hemiprotsese;56;19
Vestre Viken;2014;4;0;Hemiprotsese;73;20
Vestfold;2014;4;0;Hemiprotsese;29;21
Telemark;2014;4;0;Hemiprotsese;40;22
Sørlandet;2014;4;0;Hemiprotsese;41;23
Norge;2014;4;0;Hemiprotsese;666;9999
Finnmark;2015;4;0;Hemiprotsese;7;1
UNN;2015;4;0;Hemiprotsese;26;2
Nordland;2015;4;0;Hemiprotsese;13;3
Helgeland;2015;4;0;Hemiprotsese;7;4
Nord-Trøndelag;2015;4;0;Hemiprotsese;9;6
St. Olavs;2015;4;0;Hemiprotsese;40;7
Møre og Romsdal;2015;4;0;Hemiprotsese;38;8
Førde;2015;4;0;Hemiprotsese;14;10
Bergen;2015;4;0;Hemiprotsese;56;11
Fonna;2015;4;0;Hemiprotsese;23;12
Stavanger;2015;4;0;Hemiprotsese;34;13
Østfold;2015;4;0;Hemiprotsese;47;14
Akershus;2015;4;0;Hemiprotsese;37;15
OUS;2015;4;0;Hemiprotsese;75;16
Innlandet;2015;4;0;Hemiprotsese;50;19
Vestre Viken;2015;4;0;Hemiprotsese;61;20
Vestfold;2015;4;0;Hemiprotsese;25;21
Telemark;2015;4;0;Hemiprotsese;36;22
Sørlandet;2015;4;0;Hemiprotsese;46;23
Norge;2015;4;0;Hemiprotsese;644;9999
Finnmark;2013;1;0;Totalt;7;1
UNN;2013;1;0;Totalt;14;2
Nordland;2013;1;0;Totalt;18;3
Helgeland;2013;1;0;Totalt;8;4
Nord-Trøndelag;2013;1;0;Totalt;11;6
St. Olavs;2013;1;0;Totalt;31;7
Møre og Romsdal;2013;1;0;Totalt;22;8
Førde;2013;1;0;Totalt;6;10
Bergen;2013;1;0;Totalt;57;11
Fonna;2013;1;0;Totalt;17;12
Stavanger;2013;1;0;Totalt;33;13
Østfold;2013;1;0;Totalt;48;14
Akershus;2013;1;0;Totalt;33;15
OUS;2013;1;0;Totalt;62;16
Innlandet;2013;1;0;Totalt;45;19
Vestre Viken;2013;1;0;Totalt;39;20
Vestfold;2013;1;0;Totalt;37;21
Telemark;2013;1;0;Totalt;17;22
Sørlandet;2013;1;0;Totalt;19;23
Norge;2013;1;0;Totalt;524;9999
Finnmark;2014;1;0;Totalt;9;1
UNN;2014;1;0;Totalt;15;2
Nordland;2014;1;0;Totalt;14;3
Helgeland;2014;1;0;Totalt;8;4
Nord-Trøndelag;2014;1;0;Totalt;10;6
St. Olavs;2014;1;0;Totalt;39;7
Møre og Romsdal;2014;1;0;Totalt;15;8
Førde;2014;1;0;Totalt;8;10
Bergen;2014;1;0;Totalt;43;11
Fonna;2014;1;0;Totalt;13;12
Stavanger;2014;1;0;Totalt;28;13
Østfold;2014;1;0;Totalt;28;14
Akershus;2014;1;0;Totalt;38;15
OUS;2014;1;0;Totalt;43;16
Innlandet;2014;1;0;Totalt;48;19
Vestre Viken;2014;1;0;Totalt;44;20
Vestfold;2014;1;0;Totalt;38;21
Telemark;2014;1;0;Totalt;11;22
Sørlandet;2014;1;0;Totalt;24;23
Norge;2014;1;0;Totalt;476;9999
Finnmark;2015;1;0;Totalt;5;1
UNN;2015;1;0;Totalt;12;2
Nordland;2015;1;0;Totalt;18;3
Helgeland;2015;1;0;Totalt;9;4
Nord-Trøndelag;2015;1;0;Totalt;12;6
St. Olavs;2015;1;0;Totalt;33;7
Møre og Romsdal;2015;1;0;Totalt;11;8
Førde;2015;1;0;Totalt;8;10
Bergen;2015;1;0;Totalt;38;11
Fonna;2015;1;0;Totalt;16;12
Stavanger;2015;1;0;Totalt;23;13
Østfold;2015;1;0;Totalt;40;14
Akershus;2015;1;0;Totalt;46;15
OUS;2015;1;0;Totalt;44;16
Innlandet;2015;1;0;Totalt;51;19
Vestre Viken;2015;1;0;Totalt;40;20
Vestfold;2015;1;0;Totalt;16;21
Telemark;2015;1;0;Totalt;12;22
Sørlandet;2015;1;0;Totalt;31;23
Norge;2015;1;0;Totalt;475;9999
Finnmark;2013;2;0;Totalt;7;1
UNN;2013;2;0;Totalt;10;2
Nordland;2013;2;0;Totalt;16;3
Helgeland;2013;2;0;Totalt;8;4
Nord-Trøndelag;2013;2;0;Totalt;8;6
St. Olavs;2013;2;0;Totalt;31;7
Møre og Romsdal;2013;2;0;Totalt;20;8
Førde;2013;2;0;Totalt;7;10
Bergen;2013;2;0;Totalt;36;11
Fonna;2013;2;0;Totalt;18;12
Stavanger;2013;2;0;Totalt;24;13
Østfold;2013;2;0;Totalt;42;14
Akershus;2013;2;0;Totalt;35;15
OUS;2013;2;0;Totalt;47;16
Innlandet;2013;2;0;Totalt;51;19
Vestre Viken;2013;2;0;Totalt;56;20
Vestfold;2013;2;0;Totalt;23;21
Telemark;2013;2;0;Totalt;12;22
Sørlandet;2013;2;0;Totalt;37;23
Norge;2013;2;0;Totalt;488;9999
Finnmark;2014;2;0;Totalt;6;1
UNN;2014;2;0;Totalt;11;2
Nordland;2014;2;0;Totalt;24;3
Helgeland;2014;2;0;Totalt;3;4
Nord-Trøndelag;2014;2;0;Totalt;9;6
St. Olavs;2014;2;0;Totalt;32;7
Møre og Romsdal;2014;2;0;Totalt;34;8
Førde;2014;2;0;Totalt;8;10
Bergen;2014;2;0;Totalt;49;11
Fonna;2014;2;0;Totalt;21;12
Stavanger;2014;2;0;Totalt;27;13
Østfold;2014;2;0;Totalt;43;14
Akershus;2014;2;0;Totalt;37;15
OUS;2014;2;0;Totalt;59;16
Innlandet;2014;2;0;Totalt;43;19
Vestre Viken;2014;2;0;Totalt;43;20
Vestfold;2014;2;0;Totalt;30;21
Telemark;2014;2;0;Totalt;17;22
Sørlandet;2014;2;0;Totalt;33;23
Norge;2014;2;0;Totalt;529;9999
Finnmark;2015;2;0;Totalt;6;1
UNN;2015;2;0;Totalt;15;2
Nordland;2015;2;0;Totalt;14;3
Helgeland;2015;2;0;Totalt;5;4
Nord-Trøndelag;2015;2;0;Totalt;17;6
St. Olavs;2015;2;0;Totalt;26;7
Møre og Romsdal;2015;2;0;Totalt;26;8
Førde;2015;2;0;Totalt;3;10
Bergen;2015;2;0;Totalt;41;11
Fonna;2015;2;0;Totalt;23;12
Stavanger;2015;2;0;Totalt;29;13
Østfold;2015;2;0;Totalt;45;14
Akershus;2015;2;0;Totalt;37;15
OUS;2015;2;0;Totalt;38;16
Innlandet;2015;2;0;Totalt;53;19
Vestre Viken;2015;2;0;Totalt;43;20
Vestfold;2015;2;0;Totalt;20;21
Telemark;2015;2;0;Totalt;18;22
Sørlandet;2015;2;0;Totalt;33;23
Norge;2015;2;0;Totalt;492;9999
Finnmark;2013;3;0;Totalt;9;1
UNN;2013;3;0;Totalt;20;2
Nordland;2013;3;0;Totalt;18;3
Helgeland;2013;3;0;Totalt;7;4
Nord-Trøndelag;2013;3;0;Totalt;14;6
St. Olavs;2013;3;0;Totalt;34;7
Møre og Romsdal;2013;3;0;Totalt;27;8
Førde;2013;3;0;Totalt;6;10
Bergen;2013;3;0;Totalt;56;11
Fonna;2013;3;0;Totalt;21;12
Stavanger;2013;3;0;Totalt;29;13
Østfold;2013;3;0;Totalt;46;14
Akershus;2013;3;0;Totalt;29;15
OUS;2013;3;0;Totalt;63;16
Innlandet;2013;3;0;Totalt;53;19
Vestre Viken;2013;3;0;Totalt;52;20
Vestfold;2013;3;0;Totalt;26;21
Telemark;2013;3;0;Totalt;21;22
Sørlandet;2013;3;0;Totalt;27;23
Norge;2013;3;0;Totalt;558;9999
Finnmark;2014;3;0;Totalt;8;1
UNN;2014;3;0;Totalt;10;2
Nordland;2014;3;0;Totalt;21;3
Helgeland;2014;3;0;Totalt;8;4
Nord-Trøndelag;2014;3;0;Totalt;14;6
St. Olavs;2014;3;0;Totalt;41;7
Møre og Romsdal;2014;3;0;Totalt;37;8
Førde;2014;3;0;Totalt;6;10
Bergen;2014;3;0;Totalt;43;11
Fonna;2014;3;0;Totalt;25;12
Stavanger;2014;3;0;Totalt;40;13
Østfold;2014;3;0;Totalt;38;14
Akershus;2014;3;0;Totalt;39;15
OUS;2014;3;0;Totalt;62;16
Innlandet;2014;3;0;Totalt;67;19
Vestre Viken;2014;3;0;Totalt;47;20
Vestfold;2014;3;0;Totalt;26;21
Telemark;2014;3;0;Totalt;32;22
Sørlandet;2014;3;0;Totalt;36;23
Norge;2014;3;0;Totalt;600;9999
Finnmark;2015;3;0;Totalt;6;1
UNN;2015;3;0;Totalt;22;2
Nordland;2015;3;0;Totalt;22;3
Helgeland;2015;3;0;Totalt;4;4
Nord-Trøndelag;2015;3;0;Totalt;19;6
St. Olavs;2015;3;0;Totalt;29;7
Møre og Romsdal;2015;3;0;Totalt;25;8
Førde;2015;3;0;Totalt;11;10
Bergen;2015;3;0;Totalt;40;11
Fonna;2015;3;0;Totalt;17;12
Stavanger;2015;3;0;Totalt;34;13
Østfold;2015;3;0;Totalt;43;14
Akershus;2015;3;0;Totalt;34;15
OUS;2015;3;0;Totalt;43;16
Innlandet;2015;3;0;Totalt;45;19
Vestre Viken;2015;3;0;Totalt;52;20
Vestfold;2015;3;0;Totalt;27;21
Telemark;2015;3;0;Totalt;29;22
Sørlandet;2015;3;0;Totalt;33;23
Norge;2015;3;0;Totalt;535;9999
Finnmark;2013;4;0;Totalt;3;1
UNN;2013;4;0;Totalt;22;2
Nordland;2013;4;0;Totalt;21;3
Helgeland;2013;4;0;Totalt;4;4
Nord-Trøndelag;2013;4;0;Totalt;22;6
St. Olavs;2013;4;0;Totalt;33;7
Møre og Romsdal;2013;4;0;Totalt;46;8
Førde;2013;4;0;Totalt;18;10
Bergen;2013;4;0;Totalt;52;11
Fonna;2013;4;0;Totalt;46;12
Stavanger;2013;4;0;Totalt;41;13
Østfold;2013;4;0;Totalt;49;14
Akershus;2013;4;0;Totalt;25;15
OUS;2013;4;0;Totalt;69;16
Innlandet;2013;4;0;Totalt;53;19
Vestre Viken;2013;4;0;Totalt;69;20
Vestfold;2013;4;0;Totalt;31;21
Telemark;2013;4;0;Totalt;21;22
Sørlandet;2013;4;0;Totalt;34;23
Norge;2013;4;0;Totalt;659;9999
Finnmark;2014;4;0;Totalt;6;1
UNN;2014;4;0;Totalt;20;2
Nordland;2014;4;0;Totalt;17;3
Helgeland;2014;4;0;Totalt;10;4
Nord-Trøndelag;2014;4;0;Totalt;14;6
St. Olavs;2014;4;0;Totalt;31;7
Møre og Romsdal;2014;4;0;Totalt;43;8
Førde;2014;4;0;Totalt;9;10
Bergen;2014;4;0;Totalt;55;11
Fonna;2014;4;0;Totalt;30;12
Stavanger;2014;4;0;Totalt;43;13
Østfold;2014;4;0;Totalt;46;14
Akershus;2014;4;0;Totalt;35;15
OUS;2014;4;0;Totalt;93;16
Innlandet;2014;4;0;Totalt;58;19
Vestre Viken;2014;4;0;Totalt;78;20
Vestfold;2014;4;0;Totalt;30;21
Telemark;2014;4;0;Totalt;40;22
Sørlandet;2014;4;0;Totalt;45;23
Norge;2014;4;0;Totalt;703;9999
Finnmark;2015;4;0;Totalt;7;1
UNN;2015;4;0;Totalt;28;2
Nordland;2015;4;0;Totalt;13;3
Helgeland;2015;4;0;Totalt;8;4
Nord-Trøndelag;2015;4;0;Totalt;9;6
St. Olavs;2015;4;0;Totalt;43;7
Møre og Romsdal;2015;4;0;Totalt;41;8
Førde;2015;4;0;Totalt;14;10
Bergen;2015;4;0;Totalt;60;11
Fonna;2015;4;0;Totalt;24;12
Stavanger;2015;4;0;Totalt;38;13
Østfold;2015;4;0;Totalt;48;14
Akershus;2015;4;0;Totalt;38;15
OUS;2015;4;0;Totalt;78;16
Innlandet;2015;4;0;Totalt;52;19
Vestre Viken;2015;4;0;Totalt;64;20
Vestfold;2015;4;0;Totalt;29;21
Telemark;2015;4;0;Totalt;36;22
Sørlandet;2015;4;0;Totalt;46;23
Norge;2015;4;0;Totalt;676;9999
